optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,False,0.005,0.0,0.0,0.8798165137614679,0.89
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,0.0001,0.0,0.8779816513761468,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.001,0.0001,0.0,0.8770642201834863,0.89
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.005,2e-05,0.0,0.8770642201834863,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,True,0.01,0.0,0.0,0.8752293577981651,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.05,1e-05,0.0,0.8715596330275229,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,0.001,0.0,0.8697247706422019,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.1,1e-05,0.0,0.8697247706422019,0.872
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.005,1e-05,0.0,0.8688073394495412,0.874
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.005,0.0001,0.0,0.8688073394495412,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.05,0.0002,0.0,0.8688073394495412,0.884
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.01,0.0001,0.0,0.8688073394495412,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,False,0.0,0.001,0.0,0.8669724770642202,0.88
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,True,0.005,0.0,0.0,0.8669724770642202,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,False,0.0,0.0,0.001,0.8669724770642202,0.882
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,True,0.0,0.0,1e-05,0.8669724770642202,0.892
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,2e-05,0.0,0.865137614678899,0.892
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,False,0.001,0.0,0.0,0.865137614678899,0.854
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,0.0002,0.0,0.865137614678899,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.01,0.001,0.0,0.8642201834862385,0.876
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,False,0.0,0.0,0.0001,0.863302752293578,0.876
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.001,0.0002,0.0,0.863302752293578,0.892
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,False,0.0,0.0,1e-05,0.8623853211009175,0.886
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.005,1e-05,0.0,0.8623853211009175,0.89
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.01,2e-05,0.0,0.8614678899082568,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.005,0.0002,0.0,0.8614678899082568,0.86
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,False,0.05,0.0,0.0,0.8614678899082568,0.884
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,True,0.0,0.0,0.001,0.8605504587155963,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,1e-05,0.0,0.8596330275229358,0.898
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.005,2e-05,0.0,0.8596330275229358,0.844
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.1,0.0001,0.0,0.8587155963302753,0.86
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.001,2e-05,0.0,0.8577981651376146,0.886
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2_weight_decay,True,0.0,0.0,0.0001,0.8577981651376146,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.1,0.0001,0.0,0.8568807339449541,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.005,0.002,0.0,0.8568807339449541,0.862
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,0.001,0.0,0.8568807339449541,0.862
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,False,0.0,0.0001,0.0,0.8568807339449541,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,True,0.05,0.0,0.0,0.8559633027522936,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.05,0.001,0.0,0.8559633027522936,0.872
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,False,0.01,0.0,0.0,0.8559633027522936,0.886
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.1,2e-05,0.0,0.8550458715596331,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,0.001,0.0,0.8550458715596331,0.872
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.01,0.0002,0.0,0.8550458715596331,0.872
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,False,0.0,2e-05,0.0,0.8550458715596331,0.886
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.001,1e-05,0.0,0.8550458715596331,0.88
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,2e-05,0.0,0.8541284403669724,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.1,0.0002,0.0,0.8541284403669724,0.862
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,0.0002,0.0,0.8541284403669724,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.005,0.0001,0.0,0.8541284403669724,0.868
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.01,1e-05,0.0,0.8532110091743119,0.884
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.05,0.001,0.0,0.8532110091743119,0.86
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,1e-05,0.0,0.8532110091743119,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,0.002,0.0,0.8522935779816514,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.005,0.001,0.0,0.8513761467889909,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,0.0001,0.0,0.8513761467889909,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.1,0.0002,0.0,0.8513761467889909,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.05,0.0001,0.0,0.8513761467889909,0.862
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,False,0.0,1e-05,0.0,0.8504587155963302,0.872
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,0.0001,0.0,0.8504587155963302,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.1,0.002,0.0,0.8504587155963302,0.854
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,0.002,0.0,0.8495412844036697,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.005,0.0002,0.0,0.8495412844036697,0.854
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l1,True,0.001,0.0,0.0,0.8495412844036697,0.878
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,1e-05,0.0,0.8486238532110092,0.854
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.01,2e-05,0.0,0.846788990825688,0.88
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.05,1e-05,0.0,0.846788990825688,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,True,0.0,0.0002,0.0,0.8458715596330275,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.05,2e-05,0.0,0.844954128440367,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.1,0.001,0.0,0.844954128440367,0.862
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.001,0.002,0.0,0.8440366972477065,0.868
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.1,0.002,0.0,0.8431192660550458,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,l2,False,0.0,0.01,0.0,0.8431192660550458,0.858
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,False,0.001,0.002,0.0,0.8431192660550458,0.836
<class 'torch.optim.adam.Adam'>,0.0005,16,170,both,True,0.05,2e-05,0.0,0.8422018348623853,0.832
