optimizer,lr,batch_size,hidden_dim,valid_acc,test_acc
<class 'torch.optim.adamw.AdamW'>,0.001,32,80,0.7596330275229358,0.742
<class 'torch.optim.adam.Adam'>,0.002,32,90,0.7541284403669725,0.818
<class 'torch.optim.adam.Adam'>,0.0002,16,200,0.7495412844036697,0.782
<class 'torch.optim.adam.Adam'>,0.0005,16,128,0.7486238532110092,0.82
<class 'torch.optim.adam.Adam'>,0.0025,64,70,0.7486238532110092,0.806
<class 'torch.optim.adamw.AdamW'>,0.0005,16,200,0.7477064220183486,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,200,0.7467889908256881,0.814
<class 'torch.optim.adam.Adam'>,0.0005,16,170,0.7458715596330275,0.794
<class 'torch.optim.adamw.AdamW'>,0.002,64,110,0.744954128440367,0.834
<class 'torch.optim.adam.Adam'>,0.001,64,120,0.7440366972477064,0.802
<class 'torch.optim.adamw.AdamW'>,0.0005,64,200,0.7431192660550459,0.814
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,150,0.7422018348623853,0.802
<class 'torch.optim.adamw.AdamW'>,0.0005,32,200,0.7422018348623853,0.798
<class 'torch.optim.adam.Adam'>,0.0005,32,256,0.7422018348623853,0.832
<class 'torch.optim.adamw.AdamW'>,0.0005,16,70,0.7412844036697248,0.812
<class 'torch.optim.adam.Adam'>,0.0005,16,160,0.7412844036697248,0.798
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,120,0.7412844036697248,0.824
<class 'torch.optim.adam.Adam'>,0.001,32,80,0.7403669724770642,0.8
<class 'torch.optim.adam.Adam'>,0.0005,32,160,0.7385321100917431,0.792
<class 'torch.optim.adam.Adam'>,0.0005,32,180,0.7376146788990826,0.824
<class 'torch.optim.adamw.AdamW'>,0.0005,16,160,0.7376146788990826,0.8
<class 'torch.optim.adam.Adam'>,0.0005,16,200,0.736697247706422,0.788
<class 'torch.optim.adamw.AdamW'>,0.0025,64,100,0.736697247706422,0.836
<class 'torch.optim.adamw.AdamW'>,0.001,16,70,0.736697247706422,0.814
<class 'torch.optim.adamw.AdamW'>,0.001,32,90,0.736697247706422,0.8
<class 'torch.optim.adam.Adam'>,0.0005,16,90,0.736697247706422,0.822
<class 'torch.optim.adam.Adam'>,0.0002,16,170,0.736697247706422,0.81
<class 'torch.optim.adamw.AdamW'>,0.001,64,140,0.7357798165137615,0.808
<class 'torch.optim.adamw.AdamW'>,0.0005,16,140,0.7357798165137615,0.8
<class 'torch.optim.adamw.AdamW'>,0.002,64,140,0.7357798165137615,0.792
<class 'torch.optim.adamw.AdamW'>,0.0005,32,140,0.7357798165137615,0.804
<class 'torch.optim.adamw.AdamW'>,0.001,128,120,0.7348623853211009,0.814
<class 'torch.optim.adagrad.Adagrad'>,0.01,16,256,0.7348623853211009,0.806
<class 'torch.optim.adam.Adam'>,0.0005,32,120,0.7348623853211009,0.836
<class 'torch.optim.adam.Adam'>,0.0005,32,200,0.7348623853211009,0.808
<class 'torch.optim.adam.Adam'>,0.002,64,140,0.7348623853211009,0.804
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,160,0.7330275229357798,0.804
<class 'torch.optim.adam.Adam'>,0.0005,32,90,0.7330275229357798,0.81
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,140,0.7330275229357798,0.814
<class 'torch.optim.adam.Adam'>,0.001,32,110,0.7330275229357798,0.818
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,200,0.7321100917431193,0.794
<class 'torch.optim.adam.Adam'>,0.0005,32,140,0.7321100917431193,0.796
<class 'torch.optim.adam.Adam'>,0.001,64,160,0.7311926605504587,0.78
<class 'torch.optim.adamw.AdamW'>,0.002,64,128,0.7311926605504587,0.812
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,170,0.7311926605504587,0.81
<class 'torch.optim.adam.Adam'>,0.0005,16,70,0.7311926605504587,0.81
<class 'torch.optim.adamw.AdamW'>,0.001,16,100,0.7311926605504587,0.81
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,256,0.7302752293577982,0.81
<class 'torch.optim.adamw.AdamW'>,0.0005,16,90,0.7302752293577982,0.816
<class 'torch.optim.adamw.AdamW'>,0.002,32,70,0.7293577981651376,0.778
<class 'torch.optim.adam.Adam'>,0.0005,16,180,0.7293577981651376,0.786
<class 'torch.optim.adamw.AdamW'>,0.0005,16,80,0.7293577981651376,0.798
<class 'torch.optim.adam.Adam'>,0.0005,64,170,0.7293577981651376,0.796
<class 'torch.optim.adamw.AdamW'>,0.0005,16,150,0.728440366972477,0.804
<class 'torch.optim.adamw.AdamW'>,0.001,32,128,0.728440366972477,0.794
<class 'torch.optim.adam.Adam'>,0.0002,16,180,0.728440366972477,0.816
<class 'torch.optim.adam.Adam'>,0.0005,32,150,0.728440366972477,0.786
<class 'torch.optim.adamw.AdamW'>,0.0002,16,160,0.728440366972477,0.786
<class 'torch.optim.adamw.AdamW'>,0.0005,64,180,0.7275229357798165,0.83
<class 'torch.optim.adamw.AdamW'>,0.0005,32,128,0.7275229357798165,0.768
<class 'torch.optim.adam.Adam'>,0.002,128,100,0.7275229357798165,0.78
<class 'torch.optim.adam.Adam'>,0.0002,16,160,0.7275229357798165,0.788
<class 'torch.optim.adam.Adam'>,0.0002,16,256,0.7275229357798165,0.802
<class 'torch.optim.adamw.AdamW'>,0.001,64,110,0.726605504587156,0.834
<class 'torch.optim.adam.Adam'>,0.001,128,120,0.726605504587156,0.792
<class 'torch.optim.adamw.AdamW'>,0.0002,16,200,0.726605504587156,0.784
<class 'torch.optim.adamw.AdamW'>,0.0002,16,256,0.7256880733944954,0.806
<class 'torch.optim.adamw.AdamW'>,0.0005,64,120,0.7256880733944954,0.804
<class 'torch.optim.adamw.AdamW'>,0.002,32,90,0.7256880733944954,0.794
<class 'torch.optim.adam.Adam'>,0.002,32,80,0.7256880733944954,0.766
<class 'torch.optim.adam.Adam'>,0.001,32,160,0.7256880733944954,0.796
<class 'torch.optim.adam.Adam'>,0.0005,16,80,0.7247706422018348,0.796
<class 'torch.optim.adamw.AdamW'>,0.0002,32,200,0.7247706422018348,0.786
<class 'torch.optim.adagrad.Adagrad'>,0.005,16,170,0.7247706422018348,0.78
<class 'torch.optim.adam.Adam'>,0.002,64,70,0.7238532110091743,0.778
<class 'torch.optim.adagrad.Adagrad'>,0.01,64,120,0.7238532110091743,0.832
<class 'torch.optim.adagrad.Adagrad'>,0.01,32,128,0.7238532110091743,0.786
<class 'torch.optim.adamw.AdamW'>,0.001,32,110,0.7229357798165138,0.804
<class 'torch.optim.adagrad.Adagrad'>,0.005,32,170,0.7229357798165138,0.816
