optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,False,0.001,0.0,0.0,0.8779816513761468,0.89
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.001,0.0001,0.0,0.8770642201834863,0.896
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,False,0.0,0.0,0.01,0.8761467889908257,0.888
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.005,2e-05,0.0,0.8733944954128441,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,True,0.0,0.0,0.001,0.8724770642201835,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.01,0.0001,0.0,0.8715596330275229,0.89
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,1e-05,0.0,0.8715596330275229,0.882
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,0.0002,0.0,0.8706422018348624,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.005,2e-05,0.0,0.8706422018348624,0.888
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.01,0.0002,0.0,0.8697247706422019,0.878
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.001,2e-05,0.0,0.8697247706422019,0.894
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.05,0.0001,0.0,0.8688073394495412,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,False,0.0,1e-05,0.0,0.8688073394495412,0.876
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.01,2e-05,0.0,0.8688073394495412,0.876
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.005,0.0001,0.0,0.8688073394495412,0.91
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,True,0.0,0.0,0.1,0.8678899082568807,0.888
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.001,0.001,0.0,0.8678899082568807,0.88
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.05,1e-05,0.0,0.8669724770642202,0.858
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.001,0.0002,0.0,0.8669724770642202,0.896
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,False,0.0,2e-05,0.0,0.8669724770642202,0.88
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,0.0001,0.0,0.8660550458715597,0.89
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.1,0.0001,0.0,0.8660550458715597,0.89
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.01,1e-05,0.0,0.865137614678899,0.894
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,True,0.005,0.0,0.0,0.865137614678899,0.896
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,False,0.005,0.0,0.0,0.865137614678899,0.862
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,True,0.01,0.0,0.0,0.865137614678899,0.868
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.01,0.0001,0.0,0.8642201834862385,0.894
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.01,0.0002,0.0,0.8642201834862385,0.876
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,False,0.0,0.0001,0.0,0.8642201834862385,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,0.002,0.0,0.863302752293578,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.01,2e-05,0.0,0.863302752293578,0.898
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,True,0.001,0.0,0.0,0.863302752293578,0.88
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.005,0.0001,0.0,0.8623853211009175,0.882
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,False,0.0,0.0,0.001,0.8623853211009175,0.896
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.01,0.001,0.0,0.8614678899082568,0.884
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,0.001,0.0,0.8614678899082568,0.872
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.005,1e-05,0.0,0.8605504587155963,0.888
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,True,0.0,2e-05,0.0,0.8605504587155963,0.872
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.005,1e-05,0.0,0.8596330275229358,0.882
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,False,0.05,0.0,0.0,0.8596330275229358,0.876
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.001,0.001,0.0,0.8587155963302753,0.892
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,False,0.01,0.002,0.0,0.8587155963302753,0.868
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.1,1e-05,0.0,0.8587155963302753,0.878
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,False,0.0,0.0,0.1,0.8587155963302753,0.876
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l1,False,0.01,0.0,0.0,0.8587155963302753,0.868
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2,False,0.0,0.001,0.0,0.8587155963302753,0.874
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,both,True,0.001,1e-05,0.0,0.8577981651376146,0.872
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,False,0.0,0.0,0.0001,0.8577981651376146,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,False,0.0,0.0,1e-05,0.8577981651376146,0.886
<class 'torch.optim.adamw.AdamW'>,0.0002,16,120,l2_weight_decay,True,0.0,0.0,0.0001,0.8577981651376146,0.886
